Platform,Product Name,Seller,Price,Delivery Fees,Delivery Date,Product State,Seller Rating,Timestamp
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",Monsieurplus,"1164,99 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",Elplace,"1224,13 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",GPASPLUS,"1228,56 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",SIA Solution,"1298,03 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",La Boutique du Net,"1340,36 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",Big Hub,"1389,58 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",123Consommables,"1442,99 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
------------------------------------------------------------------------------------------------------------------------------------
E.Leclerc,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",E.Leclerc,"1799,00 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:54
E.Leclerc,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",Stock e-commerce,"1830,36 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:54
E.Leclerc,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",Maxmovil,"1972,63 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:54
E.Leclerc,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",Espace-Disque,"1988,56 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:54
