Platform,Product Name,Price,Seller,Delivery Fees,Delivery Date,Product State,Timestamp
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","1059.,00 €",Espace-Disque,Offerte,Prévue le 17/03/25,NEUF,16/03/2025 16:17:21
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","1133.,95 €",2KINGS,Offerte,Prévue entre le 18/03/25 et le 19/03/25,NEUF,16/03/2025 16:17:21
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","1136.,08 €",Icoza,Offerte,Prévue le 17/03/25,NEUF,16/03/2025 16:17:21
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","1136.,87 €",Monsieurplus,Offerte,Prévue le 24/03/25,NEUF,16/03/2025 16:17:21
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","1183.,99 €",Elplace,Offerte,Prévue le 21/03/25,NEUF,16/03/2025 16:17:21
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","1224.,13 €",GPASPLUS,Offerte,Prévue le 21/03/25,NEUF,16/03/2025 16:17:21
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","1228.,56 €",SIA Solution,Offerte,Prévue le 22/03/25,NEUF,16/03/2025 16:17:21
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","1330.,35 €",La Boutique du Net,Offerte,Prévue le 04/04/25,NEUF,16/03/2025 16:17:21
----------------------------------------------------------------------------------------------------------
E.Leclerc,Smartphone Apple iPhone 15 128GB noir,"779.,00 €",Techstarkshop,Offerte,Prévue entre le 17/03/25 et le 18/03/25,NEUF,16/03/2025 16:17:48
E.Leclerc,Smartphone Apple iPhone 15 128GB noir,"699.,99 €",TELBLUE LDA,Offerte,Prévue entre le 18/03/25 et le 19/03/25,NEUF,16/03/2025 16:17:48
