pfid,idsmartphone,url,timestamp,price,shipcost,rating,ratingnb,offertype,offerdetails,shipcountry,sellercountry
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1129.07,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1114.05,18.29,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1236.24,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1244.27,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1296.26,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1296.84,9.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1331.43,9.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1371.23,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1392.33,9.29,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1392.33,18.29,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1392.99,18.29,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1423.37,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1548.49,9.29,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1548.49,18.29,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1548.99,18.29,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1571.49,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1099.0,6.39,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1160.09,0.01,,,NewCondition,,,
